epoch,train_loss,val_loss_MN,psnr_MN,ssim_MN,val_loss_M,psnr_M,val_loss_N,psnr_N,ssim_N,lr
1,17.255728979110717,16.976339912414552,21.51178526673843,21.51178526673843,14.769668006896973,22.516049572056623,15.291633796691894,22.17416600384581,22.17416600384581,0.0001
2,13.906847892761231,15.924870109558105,22.019147392009625,22.019147392009625,13.445766830444336,23.202161426366033,13.951602935791016,22.811397531727618,22.811397531727618,0.0001
3,13.068562292099,15.74531955718994,22.03014866834254,22.03014866834254,13.117440032958985,23.413337847966726,13.390375518798828,23.072212279124468,23.072212279124468,0.0001
4,12.696302472114564,15.119871902465821,22.312572657595997,22.312572657595997,12.569121551513671,23.56029715103847,13.218782997131347,23.095129178057554,23.095129178057554,0.0001
5,12.460922506332398,15.1908748626709,22.31581988940213,22.31581988940213,12.34110622406006,23.75083864606259,12.864710235595703,23.265057777312634,23.265057777312634,0.0001
6,12.298008192062378,14.981168174743653,22.442551085691747,22.442551085691747,12.12512378692627,23.803950972408053,12.721548652648925,23.27544907430785,23.27544907430785,0.0001
7,12.23672272491455,14.767803382873534,22.51036089745871,22.51036089745871,12.02281494140625,23.857246781063772,12.837292289733886,23.213693513155658,23.213693513155658,0.0001
8,12.18047690963745,14.75444278717041,22.454412824573666,22.454412824573666,11.851796340942382,23.937699554436733,12.446600914001465,23.43643933310272,23.43643933310272,0.0001
9,11.988761241912842,14.8975004196167,22.44625098696796,22.44625098696796,11.78875675201416,24.002148600268452,12.527833557128906,23.41620399751094,23.41620399751094,0.0001
10,12.029421008110047,14.213607025146484,22.756742818879097,22.756742818879097,11.528596878051758,24.00594781288234,12.389144897460938,23.409904344670945,23.409904344670945,0.0001
11,11.88595117855072,14.130854034423828,22.76496271798954,22.76496271798954,11.52711124420166,24.09185136633802,12.122344017028809,23.523958747838936,23.523958747838936,0.0001
12,11.800733692169189,14.748915672302246,22.463733615448287,22.463733615448287,11.399017715454102,24.220414508350373,12.089326858520508,23.633243759217645,23.633243759217645,0.0001
13,11.748915620803833,14.586216926574707,22.519130876404606,22.519130876404606,11.315699195861816,24.234876827718196,12.088508224487304,23.582523344906328,23.582523344906328,0.0001
14,11.717996174812317,14.157748794555664,22.752923356802548,22.752923356802548,11.320619583129883,24.211406176068728,12.0047758102417,23.595218934361768,23.595218934361768,0.0001
15,11.62367377281189,14.757234573364258,22.531565872126528,22.531565872126528,11.320076179504394,24.26086840274565,11.989730262756348,23.66085885813492,23.66085885813492,0.0001
16,11.564385774612427,14.517673683166503,22.640093683052346,22.640093683052346,11.165568351745605,24.309385183774424,11.984993934631348,23.60743049508282,23.60743049508282,0.0001
17,11.525346249580384,14.687309646606446,22.529540238973784,22.529540238973784,11.224075889587402,24.29529378692449,12.067422866821289,23.635648298444195,23.635648298444195,0.0001
18,11.526851516723633,14.097526741027831,22.787735149290217,22.787735149290217,11.043238830566406,24.376798208633097,11.83415470123291,23.68643671016877,23.68643671016877,0.0001
19,11.606280917167664,14.251427841186523,22.695986056160827,22.695986056160827,11.085526466369629,24.32070356532021,11.899226760864257,23.64723033814986,23.64723033814986,0.0001
20,11.564595026016235,14.356933212280273,22.63971642756705,22.63971642756705,11.062289237976074,24.33054284444895,11.859503936767577,23.674431488986905,23.674431488986905,0.0001
21,11.397297170639039,14.429586029052734,22.601900382211905,22.601900382211905,10.968899345397949,24.412199652353443,11.820496749877929,23.73665113653879,23.73665113653879,0.0001
22,11.399901202201843,14.308650588989257,22.61986614728621,22.61986614728621,10.96235694885254,24.3928646109675,11.785620880126952,23.741521660473147,23.741521660473147,0.0001
23,11.478368225097656,14.295143699645996,22.696024341012976,22.696024341012976,10.912106704711913,24.415491628128024,11.729433631896972,23.754638169782577,23.754638169782577,0.0001
24,11.415325968742371,14.313453102111817,22.618766542315267,22.618766542315267,11.233727645874023,24.306747815907826,11.857513999938964,23.70446897174412,23.70446897174412,0.0001
25,11.311213189125061,14.306782531738282,22.64324732594958,22.64324732594958,10.824491596221923,24.471274113850384,11.57167739868164,23.823545062725696,23.823545062725696,0.0001
26,11.297110334396363,14.110170364379883,22.771372467203282,22.771372467203282,10.798379230499268,24.48958253495993,11.593278884887695,23.84367268302745,23.84367268302745,0.0001
