epoch,train_loss,val_loss_MN,psnr_MN,ssim_MN,val_loss_M,psnr_M,val_loss_N,psnr_N,ssim_N,lr
1,7.654505597114563,0.08595101535320282,19.353888988070626,19.353888988070626,0.08320871740579605,19.628528247876027,0.08377719074487686,19.575087577420028,19.575087577420028,0.0001
2,4.889577621459961,0.08217761218547821,19.904541106382073,19.904541106382073,0.07162809073925018,21.06839780648983,0.07268243432044982,20.934870749704146,20.934870749704146,0.0001
3,2.890460823535919,0.07862546294927597,20.040879187621055,20.040879187621055,0.060425283014774324,22.120969975473727,0.061769801378250125,21.908395816351327,21.908395816351327,0.0001
4,1.481142247915268,0.08097578436136246,19.742212447574236,19.742212447574236,0.054652823507785796,22.933736479057153,0.0562945619225502,22.619528005177976,22.619528005177976,0.0001
5,0.9011944590806961,0.08295691162347793,19.775027342346345,19.775027342346345,0.051925985515117644,24.04760050220927,0.05366382598876953,23.647546866321132,23.647546866321132,0.0001
6,0.6874787086248397,0.08980007916688919,18.996831911133157,18.996831911133157,0.06426113322377205,22.113501443643035,0.06703744679689408,21.704791788419296,21.704791788419296,0.0001
7,0.5870273585319519,0.08196277469396591,19.69456882989136,19.69456882989136,0.037731492146849635,25.94620751348746,0.03951060734689236,25.38074574434506,25.38074574434506,0.0001
8,0.5378117318153381,0.07948331087827683,19.950806189693367,19.950806189693367,0.03647509030997753,26.194371317871184,0.03875158503651619,25.498590113194627,25.498590113194627,0.0001
9,0.49865441834926605,0.08606440722942352,19.294049018829593,19.294049018829593,0.04507922604680061,24.859746048290948,0.04700781330466271,24.349932233606367,24.349932233606367,0.0001
10,0.46384146678447724,0.09308474212884903,18.78618375933351,18.78618375933351,0.05444086045026779,23.58676399969911,0.05603905320167542,23.250277110141795,23.250277110141795,0.0001
11,0.4423655863404274,0.08800322264432907,19.020187678097706,19.020187678097706,0.04547948688268662,24.729844762827053,0.047992242872714995,24.190264008606256,24.190264008606256,0.0001
12,0.41585915541648866,0.08620657920837402,19.200131390171418,19.200131390171418,0.038629794120788576,25.88468474529654,0.04138620719313622,25.17799986049128,25.17799986049128,0.0001
13,0.3968128870725632,0.08589957505464554,19.210220210312947,19.210220210312947,0.03313959240913391,26.831510481403434,0.03594033010303974,26.000277446781677,26.000277446781677,0.0001
14,0.37767101782560347,0.09217755049467087,18.72626133696815,18.72626133696815,0.05568493977189064,23.480569083847108,0.05939333513379097,22.858926956336422,22.858926956336422,0.0001
15,0.36132158237695694,0.09330357909202576,18.648399977644644,18.648399977644644,0.05063366591930389,24.314944475695626,0.05336447432637215,23.74173395766416,23.74173395766416,0.0001
16,0.34621740818023683,0.08802271187305451,18.982267273715884,18.982267273715884,0.046344729512929915,24.272274602410583,0.050486817955970764,23.55913558383409,23.55913558383409,0.0001
17,0.3350090065002441,0.08958811610937119,18.83057903228257,18.83057903228257,0.031103165447711946,27.36414246865805,0.0342743743211031,26.379800564954685,26.379800564954685,0.0001
18,0.3262510868906975,0.09320472776889802,18.50500695328838,18.50500695328838,0.03955449685454369,25.932586169887593,0.04320284500718117,25.10687367864641,25.10687367864641,0.0001
19,0.32154275888204575,0.09713300615549088,18.229602027418327,18.229602027418327,0.03885738663375378,25.97970336319771,0.04062395431101322,25.350912069398127,25.350912069398127,0.0001
20,0.3155770231485367,0.09419475048780442,18.296609772642352,18.296609772642352,0.039281511679291725,25.70436570249219,0.042881446331739424,24.879303403765935,24.879303403765935,0.0001
21,0.3111584818065167,0.09516369551420212,18.252498185218244,18.252498185218244,0.03830804079771042,26.162102315508537,0.041879023984074594,25.29865138594873,25.29865138594873,0.0001
22,0.3069910911619663,0.09303196221590042,18.54361166280765,18.54361166280765,0.03928102478384972,25.961611642489014,0.04202452301979065,25.225833656527982,25.225833656527982,0.0001
23,0.3038527297973633,0.09740356355905533,18.102104638945754,18.102104638945754,0.04052977189421654,25.325301585450745,0.04375638514757156,24.617004036918527,24.617004036918527,0.0001
24,0.302169730424881,0.10745845288038254,17.346891908538886,17.346891908538886,0.060491843521595,22.865593163827796,0.062473011761903764,22.51812752366891,22.51812752366891,0.0001
25,0.30351550263166427,0.09303961247205735,18.432000702613315,18.432000702613315,0.03848151788115502,26.21622070799586,0.042673810943961145,25.245255404871035,25.245255404871035,0.0001
26,0.3018189061284065,0.09426439553499222,18.31583050492187,18.31583050492187,0.03932520151138306,25.689661660457737,0.04308919683098793,24.788803240169393,24.788803240169393,0.0001
27,0.2974745725989342,0.09314067363739013,18.432685931179186,18.432685931179186,0.040215079486370084,25.4436068008686,0.04353319928050041,24.66783694948644,24.66783694948644,0.0001
28,0.2984971032142639,0.09271712303161621,18.45995101234434,18.45995101234434,0.0394795760512352,25.80774138633658,0.04293319322168827,24.964106144662328,24.964106144662328,0.0001
29,0.2959174981713295,0.09419603794813156,18.328317072821424,18.328317072821424,0.03762284778058529,26.273426502351604,0.04128887578845024,25.322731262475905,25.322731262475905,0.0001
30,0.29638164782524107,0.09369805008172989,18.337986575991874,18.337986575991874,0.03193373270332813,27.08443032831916,0.03554944396018982,26.030518595598426,26.030518595598426,0.0001
31,0.2951922625005245,0.09512327313423156,18.251804763201484,18.251804763201484,0.03209667652845383,27.13396044397623,0.03684742636978626,25.877702000873292,25.877702000873292,0.0001
32,0.29431680104136465,0.09206116497516632,18.53169669157662,18.53169669157662,0.031634004041552546,27.34017843250018,0.036064828559756276,26.119839783575667,26.119839783575667,0.0001
33,0.2944862236380577,0.09589635580778122,18.11758047233918,18.11758047233918,0.03943009451031685,25.876337988073978,0.04352111220359802,24.934204221867994,24.934204221867994,0.0001
34,0.29283025515079497,0.09489495158195496,18.218282679032733,18.218282679032733,0.03184850513935089,27.32255447626229,0.036458449065685274,26.108213473611205,26.108213473611205,0.0001
35,0.2906565149724484,0.0934978574514389,18.383267524122633,18.383267524122633,0.039280574023723605,25.842560893522897,0.042785638570785524,24.97583269599026,24.97583269599026,0.0001
36,0.2906539443731308,0.0917640820145607,18.50508943099787,18.50508943099787,0.028776263073086738,27.885247270318565,0.033138977736234664,26.578024272700407,26.578024272700407,0.0001
37,0.2898971233069897,0.09585565775632858,18.137212371945665,18.137212371945665,0.037660476937890056,26.223879932601555,0.04138622432947159,25.343707986350786,25.343707986350786,0.0001
38,0.289680656850338,0.09676559567451477,18.0949506436777,18.0949506436777,0.03651103973388672,26.2902838866497,0.040665239095687866,25.287868371074783,25.287868371074783,0.0001
39,0.2891960690021515,0.09860428422689438,17.95346390048527,17.95346390048527,0.04241769388318062,25.00138536719754,0.045737792551517484,24.35219737127133,24.35219737127133,0.0001
40,0.2880475951731205,0.0960546538233757,18.121669782242513,18.121669782242513,0.034129977226257324,26.996395982384417,0.03938802368938923,25.726648826016792,25.726648826016792,0.0001
41,0.287937807649374,0.09119214415550232,18.475440988388236,18.475440988388236,0.03982712738215923,25.489320365948636,0.045276098698377606,24.379275359080538,24.379275359080538,0.0001
42,0.286858219653368,0.09642470628023148,18.18623067405998,18.18623067405998,0.03878788128495216,26.061843321375143,0.042999666184186935,25.081478470719183,25.081478470719183,0.0001
43,0.28728602623939514,0.09495362043380737,18.183445701154273,18.183445701154273,0.03221117965877056,27.344103433061868,0.03658016920089722,26.116240160048033,26.116240160048033,0.0001
44,0.2866793599128723,0.09370647072792053,18.349028599767294,18.349028599767294,0.029148081317543983,27.934260787280174,0.03283690884709358,26.7144604700271,26.7144604700271,0.0001
45,0.2869735823571682,0.09185277223587036,18.57743680074406,18.57743680074406,0.03459278829395771,26.836952311087135,0.038577068224549295,25.700883029171223,25.700883029171223,0.0001
46,0.28871892657876014,0.0940081462264061,18.274511062829514,18.274511062829514,0.031217169016599655,27.365282430972115,0.03609882555902004,26.099974064548615,26.099974064548615,0.0001
47,0.2878030578494072,0.08971084207296372,18.6663082230234,18.6663082230234,0.04055295586585998,25.651218264687106,0.04586988016963005,24.575153030236667,24.575153030236667,0.0001
48,0.28369350335001947,0.0987103596329689,17.945125291621174,17.945125291621174,0.055924945324659345,23.33734366687393,0.06017515361309052,22.643696990919075,22.643696990919075,0.0001
49,0.2869131995737553,0.09391318559646607,18.259662284460212,18.259662284460212,0.028522980585694312,28.04033625587609,0.03350439555943012,26.648629669777257,26.648629669777257,0.0001
50,0.2827936250567436,0.09621125310659409,18.135521393423225,18.135521393423225,0.03597170636057854,26.524471312424055,0.0403902567923069,25.39774921670947,25.39774921670947,0.0001
51,0.2858808087110519,0.09667833894491196,18.097426140402114,18.097426140402114,0.02701292037963867,28.27177249065398,0.031584540382027626,26.860804443175986,26.860804443175986,0.0001
52,0.2845267368853092,0.09290914684534073,18.36612823206017,18.36612823206017,0.032166121155023576,27.173194303473366,0.0375484824180603,25.83393628006408,25.83393628006408,0.0001
53,0.2836416181623936,0.09409077167510986,18.263229941240603,18.263229941240603,0.029376476258039474,27.899116419070605,0.034339888766407964,26.496881106194525,26.496881106194525,0.0001
54,0.28478479745984075,0.09587535560131073,18.11805371478177,18.11805371478177,0.03668068945407867,26.201848584250865,0.041445302218198775,25.03959383523429,25.03959383523429,0.0001
55,0.28214487528800963,0.0947662502527237,18.19475148243829,18.19475148243829,0.030965377390384675,27.478258521375032,0.03662192262709141,26.02202923939539,26.02202923939539,0.0001
56,0.2832538069486618,0.09433566629886628,18.24151891580049,18.24151891580049,0.028629156947135925,28.04637913852265,0.03412064351141453,26.557992656903547,26.557992656903547,0.0001
57,0.2832027467787266,0.09768984168767929,17.975301973013686,17.975301973013686,0.040161308646202085,25.637046728752466,0.04485641568899155,24.628567896681556,24.628567896681556,0.0001
58,0.28543340775370596,0.0971340462565422,18.035668400180306,18.035668400180306,0.03158720657229423,27.487274695385445,0.03639602959156037,26.166632244828257,26.166632244828257,0.0001
59,0.2835873094499111,0.09549797177314759,18.202267458867894,18.202267458867894,0.025799356400966644,28.5324232577215,0.030442797020077704,27.01557032903234,27.01557032903234,0.0001
60,0.2831982617676258,0.09583854228258133,18.17219910230014,18.17219910230014,0.03155196085572243,27.285905986106776,0.03638472780585289,25.94180052307015,25.94180052307015,0.0001
61,0.28266805174946785,0.09575544446706771,18.088541527922757,18.088541527922757,0.03227232806384563,27.14196306070545,0.03811066374182701,25.696756969699415,25.696756969699415,0.0001
62,0.28596185141801833,0.09357378780841827,18.29058227889743,18.29058227889743,0.029230942577123643,27.82866178218149,0.035382778570055964,26.245571716924616,26.245571716924616,0.0001
63,0.27956793069839475,0.09962010383605957,17.836133601396778,17.836133601396778,0.02789183259010315,28.03800734031835,0.03286016657948494,26.61699424284161,26.61699424284161,0.0001
64,0.28139910128712653,0.10234352648258209,17.69665788314841,17.69665788314841,0.048016357421875,24.157785358893612,0.05260599181056023,23.276588158588595,23.276588158588595,0.0001
65,0.33178098970651626,0.08995355069637298,18.68501251823662,18.68501251823662,0.05880829095840454,22.617492188208605,0.06249324604868889,22.03630323156254,22.03630323156254,0.0001
66,0.2982519758343697,0.09222032278776168,18.475251381676998,18.475251381676998,0.05051275789737701,23.927357231434588,0.05562401637434959,23.102693301450692,23.102693301450692,0.0001
67,0.2943553465306759,0.0974552020430565,17.940167391131446,17.940167391131446,0.06075902581214905,22.109545156878216,0.06492019817233086,21.437970683670393,21.437970683670393,0.0001
68,0.2895245939195156,0.09021080881357194,18.558996816478256,18.558996816478256,0.03971113190054894,25.846928503986014,0.04395037814974785,24.902819835815013,24.902819835815013,0.0001
69,0.28265609192848207,0.08870338648557663,18.711476266984732,18.711476266984732,0.03365267626941204,26.954172016756722,0.03883559331297874,25.618122756664654,25.618122756664654,0.0001
70,0.284671745300293,0.09383384436368943,18.26516396696696,18.26516396696696,0.035081850737333296,26.51936279459975,0.04036604054272175,25.222764443098104,25.222764443098104,0.0001
71,0.28423730432987215,0.09051514863967895,18.522807555096765,18.522807555096765,0.030477816984057427,27.60654072533697,0.035365518555045126,26.23342196793625,26.23342196793625,0.0001
72,0.28185726603865624,0.09206252843141556,18.457791981471328,18.457791981471328,0.029362305253744125,27.83546367896641,0.03501944132149219,26.30917222416606,26.30917222416606,0.0001
73,0.3010567511022091,0.2421801656484604,11.053552639808444,11.053552639808444,0.2421491652727127,11.054984155969809,0.2421654522418976,11.054383476408908,11.054383476408908,0.0001
74,0.3198460814654827,0.09391467273235321,18.28188801864023,18.28188801864023,0.05321794301271439,23.043474334046774,0.056482892483472824,22.553806618015717,22.553806618015717,0.0001
75,0.29253945976495743,0.0930637463927269,18.318892583974325,18.318892583974325,0.04781143292784691,23.774668373820482,0.051601257547736167,23.09386584975783,23.09386584975783,0.0001
76,0.2920053570866585,0.09773112684488297,17.92098049744386,17.92098049744386,0.054842186719179155,22.51248780761944,0.05914371162652969,21.878270152868453,21.878270152868453,0.0001
77,0.2894906454980373,0.0960771381855011,18.10491886562759,18.10491886562759,0.04700993150472641,23.93589523265002,0.0516822312027216,23.15608362175464,23.15608362175464,0.0001
78,0.2890964066684246,0.09698819965124131,17.973369031853917,17.973369031853917,0.048051399365067485,23.914995631744272,0.05293987095355988,23.076472647319,23.076472647319,0.0001
79,0.29015329509973525,0.09911981374025344,17.806303921108444,17.806303921108444,0.052028656005859375,23.010426460723576,0.05683714970946312,22.310427819723966,22.310427819723966,0.0001
80,0.2927577633857727,0.10514946281909943,17.386559581301164,17.386559581301164,0.06049903184175491,21.774030583286883,0.06422406733036042,21.178683706790473,21.178683706790473,0.0001
81,0.2868135357201099,0.09949905276298524,17.814230608194,17.814230608194,0.048629772290587424,23.585458014422272,0.0528061993420124,22.897793953934933,22.897793953934933,0.0001
82,0.2866492686867714,0.10665141195058822,17.267343561400736,17.267343561400736,0.05576153248548508,22.335639947572616,0.06020160615444183,21.645181385438427,21.645181385438427,0.0001
83,0.29127456417679787,0.10729774981737136,17.133215774010235,17.133215774010235,0.04631622098386288,24.047738509062565,0.05098043009638786,23.262260068564448,23.262260068564448,0.0001
84,0.28751276874542236,0.11533293128013611,16.548131446215496,16.548131446215496,0.06321807280182838,21.61511389418345,0.0680057868361473,20.912646794532314,20.912646794532314,0.0001
85,0.28517531317472455,0.09881688505411149,17.770066563173646,17.770066563173646,0.045014843717217444,24.331138097212097,0.04976992681622505,23.46405263189115,23.46405263189115,0.0001
86,0.29147189807891843,0.10602329969406128,17.24620025328516,17.24620025328516,0.041371292620897296,24.956089789126462,0.04541229084134102,24.112294243542244,24.112294243542244,0.0001
87,0.2847412113249302,0.10861589014530182,17.074149423368812,17.074149423368812,0.045837316662073135,24.279008995257584,0.049810358136892316,23.551044538865078,23.551044538865078,0.0001
