epoch,train_loss,val_loss_1,psnr_1,ssim_1,val_loss_2,psnr_2,ssim_2,val_loss_3,psnr_3,ssim_3,val_loss_4,psnr_4,ssim_4,lr
1,29.39122506713867,10.074395656585693,27.89928703543372,0.7981456732796495,10.924543094635009,27.292928453151877,0.7714093763768405,13.061600494384766,25.842897632311,0.7059061267115178,15.701379203796387,24.286257603285975,0.629986692316644,0.0001
2,22.147944381713867,8.55822286605835,29.01165354235234,0.8237060138466813,10.004608249664306,27.86242039191405,0.7762184998461301,12.27046604156494,26.23204916133585,0.7189199608220316,14.566382026672363,24.902154698054055,0.6753649602078544,0.0001
3,20.755498438835144,7.743050384521484,29.58711144974037,0.842228578446125,9.290565013885498,28.250892411943834,0.7914795574688266,11.288878440856934,26.71499146818319,0.7459639365466149,13.261577987670899,25.44476732712817,0.7114167687059544,0.0001
4,19.991462259292604,7.494771480560303,29.81638042965891,0.8505558244241873,9.177689838409425,28.398697828354898,0.7990791215015498,10.945378303527832,26.861917332914793,0.7565119308455877,12.721338653564453,25.653742114556728,0.7229529765849704,0.0001
5,18.9927049074173,6.815221691131592,30.22904321691488,0.858746525486082,8.507127285003662,28.745892056615098,0.8125000547316148,10.298927497863769,27.21354346152956,0.7721838058574073,12.125183486938477,25.958517405788598,0.7357623050046644,0.0001
6,18.92741326904297,6.838245105743408,30.273084444405413,0.8623136138143612,8.570813274383545,28.70015740361377,0.8148173035377952,10.250493144989013,27.244358008317754,0.7750435405912682,12.039628219604491,26.043586528637682,0.738249598530915,0.0001
7,18.39151258277893,7.025394153594971,30.1515988389988,0.8622967257279892,8.67135534286499,28.726261812880136,0.8142543154384876,10.413371467590332,27.212953388994766,0.7758179174532707,12.335897827148438,25.877351234272858,0.7384363799176923,0.0001
8,18.37966751384735,6.572313690185547,30.528855769951186,0.8674734361459473,8.49870195388794,28.823771727177956,0.816726812106943,9.984013938903809,27.382134840237153,0.7791129624146734,11.708921813964844,26.150637511708066,0.7431676703901955,0.0001
9,18.257784029960632,7.034199142456055,30.203554779015644,0.8690614282845852,8.670467472076416,28.66579403722316,0.8225127314335628,9.990012741088867,27.356635201433612,0.7839904934365739,11.401420402526856,26.233299224796287,0.7488522358784693,0.0001
10,18.09410188102722,6.152838039398193,30.804152128947113,0.8715199515036837,8.10699987411499,29.083467258315927,0.8240200020419259,9.653219604492188,27.58025445082156,0.784952227258086,11.300940895080567,26.309910619870767,0.748995228127049,0.0001
11,17.798958283424376,5.983060073852539,30.88719045051829,0.8737877950970476,7.872794151306152,29.184004795862684,0.826613136849276,9.64388828277588,27.613023331858905,0.7868794916143148,11.576476860046387,26.238651754103238,0.75020250143302,0.0001
12,17.7167950258255,5.926620864868164,30.926057602896428,0.8749993760777951,7.791477489471435,29.228362122489234,0.8280870336886373,9.510437965393066,27.672372575012872,0.7883880308420889,11.279426193237304,26.345911970491365,0.752172002431481,0.0001
13,17.665034934997557,6.169905376434326,30.86372379263488,0.8771209983828993,8.053773498535156,29.079982724311236,0.8295926935688136,9.605290031433105,27.586061539165474,0.7894090928781504,11.12682228088379,26.350753743226043,0.7534462884322999,0.0001
14,17.496104808807374,5.897254562377929,31.04862857818099,0.8776010278831519,7.73970308303833,29.301549964525947,0.8302799428838578,9.448051834106446,27.677192964421245,0.789471642312629,11.109151840209961,26.34890429728332,0.7541863597156194,0.0001
