epoch,train_loss,val_loss_MN,psnr_MN,ssim_MN,val_loss_M,psnr_M,val_loss_N,psnr_N,ssim_N,lr
1,0.3356905732750893,0.2513870120048523,10.653153146536507,10.653153146536507,0.2519205123186111,10.637336350320396,0.2528743058443069,10.626948702433143,10.626948702433143,0.0001
2,0.2485103393793106,0.2601033687591553,10.559765314110908,10.559765314110908,0.25797343254089355,10.630629478868112,0.25913694500923157,10.588391843745669,10.588391843745669,0.0001
3,0.2465050586462021,0.24712953865528106,10.915645941539616,10.915645941539616,0.24794014990329744,10.877094203106106,0.24793192148208618,10.879436862302367,10.879436862302367,0.0001
4,0.24199124586582182,0.2522054135799408,10.778326982132306,10.778326982132306,0.251080310344696,10.802633326481091,0.25192307829856875,10.777206256730638,10.777206256730638,0.0001
5,0.2409585047364235,0.24629274010658264,10.914648410508425,10.914648410508425,0.24807001054286956,10.854213637988053,0.24722375571727753,10.8685996282441,10.8685996282441,0.0001
6,0.24019370645284652,0.24530959129333496,10.909606669591392,10.909606669591392,0.24523629248142242,10.89456594059924,0.2446988970041275,10.942657310822948,10.942657310822948,0.0001
7,0.24337100207805634,0.2608484625816345,10.58392435386629,10.58392435386629,0.2596369683742523,10.607212552830166,0.25912097096443176,10.628125356011147,10.628125356011147,0.0001
8,0.2412711825966835,0.24868946969509126,10.869353556567507,10.869353556567507,0.2467702329158783,10.91275437343958,0.2460344910621643,10.952967441135664,10.952967441135664,0.0001
9,0.24214069026708604,0.24826077818870546,10.921730537860345,10.921730537860345,0.24805825650691987,10.915091978778012,0.2476990133523941,10.922282701805738,10.922282701805738,0.0001
10,0.2409334176182747,0.24701848328113557,10.866747456414078,10.866747456414078,0.24700108170509338,10.860683463756311,0.24646729230880737,10.87786000365503,10.87786000365503,0.0001
11,0.2401546966433525,0.2642854392528534,10.43967416642261,10.43967416642261,0.2669603765010834,10.34793008598361,0.261186009645462,10.516721760455633,10.516721760455633,0.0001
12,0.2396771457195282,0.24841008484363555,10.867393971864335,10.867393971864335,0.24833666980266572,10.881659143757284,0.24931343793869018,10.85565979804361,10.85565979804361,0.0001
13,0.2407716294527054,0.24756982624530793,10.740698581512774,10.740698581512774,0.24689455330371857,10.74846651525013,0.24816309213638305,10.713693614958263,10.713693614958263,0.0001
14,0.24068996185064315,0.24883697032928467,10.8661356731773,10.8661356731773,0.24924262166023253,10.875630713443705,0.25007727444171907,10.836909610336635,10.836909610336635,0.0001
15,0.240760100543499,0.2458497554063797,10.936514438250274,10.936514438250274,0.24696677625179292,10.87330837154537,0.24665960371494294,10.897762032426447,10.897762032426447,0.0001
