epoch,train_loss,lr,val_loss_0,psnr_0,ssim_0,val_loss_1,psnr_1,ssim_1,val_loss_2,psnr_2,ssim_2,val_loss_3,psnr_3,ssim_3,val_loss_4,psnr_4,ssim_4,val_loss_5,psnr_5,ssim_5
1,39.4855484828949,0.0001,9.636173248291016,27.82695799545355,0.7946259961752571,10.671799564361573,26.86526596696246,0.7654576996977587,10.712874412536621,27.19309494465738,0.7628970319056979,12.894171142578125,25.798054288438646,0.6942272907179478,15.3956937789917,24.351329778472127,0.6222945973558883,18.379655265808104,22.884827370006473,0.5456290332981188
2,35.01914183425903,0.0001,9.422756385803222,27.93448108918515,0.7950186548561693,10.379823780059814,26.924707845468248,0.7660455672585247,10.289863681793213,27.40632248389295,0.7688756647784316,12.218342781066895,26.14925267960836,0.7081059207430416,14.572210502624511,24.7479694922357,0.6402361341417634,17.497663307189942,23.268830451773724,0.5644625910717617
3,33.24606391334534,0.0001,8.742190170288087,28.801279332460723,0.819624127210211,9.226758861541748,28.002882160119633,0.7990947501184642,10.074597358703613,27.717328916771397,0.7718069615149623,11.846125411987305,26.403512131911477,0.7208207554899478,13.563356590270995,25.353581511025034,0.6906648324773856,15.592625617980957,24.368461920544114,0.6629263899643874
4,31.741056171417235,0.0001,8.399609375,28.789422696412043,0.8254289650265012,9.36183271408081,27.712705718804393,0.8036936769635062,9.793075275421142,27.738092607079075,0.7781291593091595,11.529232025146484,26.479391534179513,0.7401046534152329,13.333541679382325,25.364623020502744,0.7111863201675314,15.47192611694336,24.286847978454716,0.6840094909925869
5,30.87255539703369,0.0001,7.823749732971192,29.24390737650549,0.8313594756561556,8.404593086242675,28.32294384399227,0.8105583113288114,9.481991577148438,27.937551343061195,0.7868021737994397,11.091294765472412,26.637002177348837,0.7503054817329964,12.581822967529297,25.65155956411038,0.7218770239887583,14.455914497375488,24.764743722434428,0.6946822338590242
6,30.759601568222045,0.0001,7.649143123626709,29.475883419335048,0.8361719613206702,8.350294399261475,28.414675507529388,0.8138931010857406,9.750603199005127,28.038054936020394,0.7795199697297842,11.117866516113281,26.796394357751048,0.7528205952024395,12.515337371826172,25.749147897639027,0.7255187723910475,14.290038108825684,24.805917228995547,0.6971543676639536
7,30.739391202926637,0.0001,7.217984390258789,29.64488218432883,0.8399945037959148,7.9357531547546385,28.565632950344366,0.8178290683276715,9.147663593292236,28.26856369146351,0.7921249770232637,10.837819576263428,26.88027237908319,0.7569991552792817,12.51239891052246,25.71924061074136,0.7260966170997805,14.508372688293457,24.65357890257599,0.69562553830148
8,29.712263832092287,0.0001,7.646680164337158,29.468120462063155,0.8422182967132642,8.71998643875122,28.246005962441863,0.816461549340962,9.230268383026123,28.25822154502925,0.7978283307664231,10.86633586883545,26.923540490578866,0.7624020810876609,12.604427337646484,25.749476475107418,0.7304705672045998,14.75039234161377,24.634230156696784,0.6987938112758668
9,29.5102433719635,0.0001,6.915385723114014,29.906726800855402,0.8481101028772592,7.75701675415039,28.675722672677757,0.8202134261141862,8.735865688323974,28.539167240419935,0.8042559359885662,10.328778743743896,27.14285479790516,0.7685556739734607,11.937310791015625,25.978961432946686,0.7366645580388542,13.975279235839844,24.933255152643547,0.7062264933389262
10,29.299064361572267,0.0001,6.852245044708252,29.90954058899191,0.8516168736791372,7.7334592819213865,28.67777609397222,0.8226303153765178,8.637315273284912,28.460222457865758,0.8065760632186876,10.234912395477295,27.076928816996787,0.7692908011028894,11.768469429016113,25.96910175586994,0.7374778554524697,13.719719505310058,25.00222804858988,0.7088108459641639
11,29.1983293800354,0.0001,6.760441398620605,30.13229769067351,0.854527338157968,7.738501262664795,28.79488058477428,0.8242277555051818,8.546453762054444,28.651107801081622,0.8090123854420085,10.125715351104736,27.23622121356332,0.7727484491519319,11.736878776550293,26.076267888227743,0.7403893328906609,13.738067436218262,25.062233509062438,0.711240023487252
12,28.6166040763855,0.0001,6.764243793487549,30.125428917191783,0.8566521931946142,7.656125259399414,28.884066973491183,0.8287807576362601,8.592273235321045,28.638731041004498,0.8104437336286734,10.139603805541991,27.26375240060404,0.7744831034222217,11.743017387390136,26.111333016987963,0.7417888346016972,13.769906806945801,25.062501162053323,0.7099455866759936
13,28.73164365196228,0.0001,6.531503391265869,30.25841582717331,0.8583023280438148,7.582389259338379,28.877116668881115,0.8277185116783341,8.458479118347167,28.759361577220453,0.8117492993176357,9.978485870361329,27.34201498790564,0.7756407784105288,11.596468353271485,26.149276897559226,0.74279880266511,13.611419677734375,25.086659583614423,0.7133250389051049
14,28.290465700149536,0.0001,6.492056179046631,30.27898961579867,0.8593883145865575,7.425357532501221,28.95640162953084,0.8292159749825899,8.352121162414551,28.785714848354736,0.8143139297326483,9.954710769653321,27.379882021315428,0.7774539141047395,11.582037162780761,26.180597527721726,0.744085410977222,13.627289009094238,25.10027096399265,0.7120764899985454
15,27.873554010391235,0.0001,6.386208152770996,30.391364973338398,0.8613566734409787,7.427738380432129,28.971916173258183,0.8300841325291224,8.230674934387206,28.87054392503031,0.8164904585931951,9.855576610565185,27.41453491239662,0.779159977960748,11.4215518951416,26.230647434407736,0.7464562599908583,13.37958221435547,25.200864321481426,0.7165669269217968
