epoch,train_loss,val_loss_1,psnr_1,ssim_1,val_loss_2,psnr_2,ssim_2,val_loss_3,psnr_3,ssim_3,val_loss_4,psnr_4,ssim_4,val_loss_5,psnr_5,ssim_5,val_loss_6,psnr_6,ssim_6,lr
1,38.305890235900875,19.0282190322876,20.708945810598227,0.5676810543579268,18.177141380310058,21.20523785830039,0.5928172933124433,18.136371231079103,21.317136476918282,0.5953380426722121,18.406168365478514,21.347818723206668,0.5852404462730127,18.42876434326172,21.485766989921345,0.5880585723522447,18.036743545532225,21.799002997244685,0.6044171757946329,0.0001
2,32.8619674282074,19.400366973876952,20.594483189777343,0.5598828925228518,18.31931781768799,21.165947802511248,0.5890288275287391,18.256099891662597,21.294459524932716,0.5917666172394527,18.526526832580565,21.326559565494982,0.5788574709013168,18.52448978424072,21.481180338023716,0.5819543989531486,18.043088340759276,21.82222045808407,0.6004762465959368,0.0001
3,32.308356426239015,19.28625202178955,20.58433789501596,0.5654491461889839,18.188649559020995,21.161778709465455,0.5946336438932911,18.148928833007812,21.28761958920733,0.5969257733693742,18.410832786560057,21.324341208268596,0.5845008877799207,18.440872192382812,21.475017812220308,0.5872071536708445,17.98648796081543,21.814646498515106,0.6047990131151412,0.0001
4,32.11373316192627,19.370282936096192,20.479820143431983,0.5662755602456513,18.137734413146973,21.088387544871114,0.595915486274728,18.085910606384278,21.21759775103011,0.5979478720799154,18.306467056274414,21.27180547602164,0.5878440016559081,18.30317840576172,21.42866397988961,0.5905382519878698,17.78885097503662,21.791061204366688,0.6073568245884099,0.0001
5,32.021600143432615,18.935565567016603,20.75148610308696,0.5744494587103706,17.778857612609862,21.362036648828457,0.6051005314996813,17.777264213562013,21.484452847246775,0.606783791053395,18.03187828063965,21.52262816644165,0.5990536174283362,18.09427261352539,21.664420314534617,0.6011464329892657,17.732159423828126,21.981279796132075,0.6157203507118733,0.0001
6,31.706821882247926,19.48958396911621,20.44951599912186,0.5692928189190024,18.15768642425537,21.065111783453602,0.599727464958167,18.108154296875,21.191089283254758,0.6015190822543784,18.224548530578613,21.268127357697765,0.5964657441597628,18.206549072265624,21.425877890502782,0.5988899333430672,17.68129997253418,21.809507429277552,0.6145761112968882,0.0001
7,31.08625497817993,19.01793212890625,20.57498157302936,0.5784219844091711,17.856422996520998,21.13312504730133,0.604529906244994,17.8368013381958,21.247750118141994,0.605757085602248,17.965867042541504,21.335874252961098,0.6030080494498901,17.993603515625,21.4851102264048,0.605014650193261,17.569000434875488,21.84599111636294,0.6180777668465879,0.0001
8,30.951451307296754,18.75150661468506,20.767642098434468,0.5923595618162836,17.979890251159667,21.108359869211167,0.6040111471170144,17.960564613342285,21.18018432091589,0.6035532891601313,17.804639625549317,21.4452965046916,0.6128069383867591,17.84336624145508,21.561418951984244,0.6149167263150798,17.522334861755372,21.858842510113924,0.6226190137465918,0.0001
9,30.237181344985963,18.47216053009033,20.952808492785135,0.6019614422133855,17.672855186462403,21.258328866331905,0.6118281599637365,17.56511688232422,21.44102964758524,0.6145681677288377,17.3049596786499,21.7562484397823,0.6228939346373117,17.369343566894532,21.924989888173705,0.6267750014107442,17.146816635131835,22.093392622966654,0.6289469543159686,0.0001
10,29.64282942390442,18.652554321289063,20.86642216920299,0.591620703149971,17.63397159576416,21.317755961430734,0.6129054901003429,17.886027526855468,21.45559160915357,0.606357016268732,17.70852756500244,21.62843160761576,0.6122554321353185,17.977246284484863,21.71790911070869,0.6097277938822139,17.491736030578615,21.926160007460005,0.6205922713006431,0.0001
