epoch,train_loss,val_loss_MN,psnr_MN,ssim_MN,val_loss_M,psnr_M,val_loss_N,psnr_N,ssim_N,lr
1,16.6321311378479,19.746280670166016,22.466968757429147,22.466968757429147,8.376065254211426,28.956082007271142,9.08058443069458,27.997411726542577,27.997411726542577,0.0001
2,13.107534175872802,22.841775512695314,21.7298501344746,21.7298501344746,8.124878787994385,29.22986613306797,8.87697105407715,28.22038411460345,28.22038411460345,0.0001
3,12.9490284614563,24.650601959228517,21.61619881491411,21.61619881491411,7.638405704498291,29.282303844188363,8.242423915863037,28.34766503782104,28.34766503782104,0.0001
4,12.767554363250733,26.224765014648437,21.514365882115772,21.514365882115772,7.995461082458496,29.031888497090385,8.524926471710206,28.1813123812583,28.1813123812583,0.0001
5,12.832740886688232,27.078450393676757,21.333397179119316,21.333397179119316,7.390926837921143,29.395329747536607,8.099380683898925,28.360776505269236,28.360776505269236,0.0001
6,12.615930297851563,27.7602897644043,21.32348556275887,21.32348556275887,7.671895599365234,29.281062296189948,8.251586627960204,28.314268931020543,28.314268931020543,0.0001
7,12.634343269348145,28.123083114624023,21.21379035100115,21.21379035100115,7.225102233886719,29.639749228752606,7.9947357177734375,28.488479988487153,28.488479988487153,0.0001
8,12.473868068695069,28.292919540405272,21.201676289478137,21.201676289478137,6.92257137298584,29.83314655078211,7.734543991088867,28.657459602714972,28.657459602714972,0.0001
9,12.392001880645752,28.629637908935546,21.1479263075391,21.1479263075391,6.964749526977539,29.868769110538032,7.6473699569702145,28.797015382028217,28.797015382028217,0.0001
10,12.31180114364624,28.584573364257814,21.159667953953115,21.159667953953115,6.7367278099060055,30.05344138815285,7.609319591522217,28.779891559486583,28.779891559486583,0.0001
11,12.20435631942749,28.64552230834961,21.115619277945893,21.115619277945893,6.575877285003662,30.224928493933636,7.474855899810791,28.91240913838383,28.91240913838383,0.0001
12,12.259030941009522,28.806453704833984,20.98059721556958,20.98059721556958,6.409739971160889,30.3685701085138,7.466861248016357,28.956035658880786,28.956035658880786,0.0001
13,12.313294700622558,28.967166137695312,20.99267046260277,20.99267046260277,6.353201293945313,30.393767924109152,7.3486912727355955,28.99470188395144,28.99470188395144,0.0001
14,12.172729801177978,29.033369064331055,20.90232654746334,20.90232654746334,6.383112049102783,30.416059697504117,7.355032062530517,29.046844255667946,29.046844255667946,0.0001
15,12.125176959991455,28.963737106323244,20.96462512251697,20.96462512251697,6.323589324951172,30.502238823422566,7.322808456420899,29.085549287654334,29.085549287654334,0.0001
16,12.07489979171753,28.974096298217773,20.94337001473074,20.94337001473074,6.180706024169922,30.54965416954398,7.2928191184997555,29.045320625343123,29.045320625343123,0.0001
17,12.194776081085205,29.100263595581055,20.905211500880213,20.905211500880213,6.157190799713135,30.601539891152804,7.294335842132568,29.11098453441078,29.11098453441078,0.0001
18,12.096013683319091,28.942725372314452,20.922174346926774,20.922174346926774,6.14700927734375,30.606829573867522,7.334207916259766,29.042601042798537,29.042601042798537,0.0001
19,12.054699123382568,29.212931823730468,20.905411778243085,20.905411778243085,6.456326007843018,30.49908279790169,7.418595790863037,29.098770458558363,29.098770458558363,0.0001
20,12.134584438323975,28.939860534667968,20.939227679707766,20.939227679707766,6.101467704772949,30.682188272617054,7.370261573791504,29.04323849314049,29.04323849314049,0.0001
21,12.03002677154541,29.07986488342285,20.87635646418287,20.87635646418287,6.047618389129639,30.729346179687656,7.244636821746826,29.160194819695096,29.160194819695096,0.0001
22,12.097810638427735,28.99353904724121,20.9225565492256,20.9225565492256,6.012656879425049,30.748143254920894,7.259121036529541,29.11235982955651,29.11235982955651,0.0001
23,12.029549461364747,29.216917037963867,20.87566134499246,20.87566134499246,6.0865682601928714,30.702423360186724,7.262876701354981,29.134445449658966,29.134445449658966,0.0001
24,12.069174690246582,29.045205307006835,20.92664189738146,20.92664189738146,6.159761047363281,30.719926972191587,7.393327426910401,29.085252850083815,29.085252850083815,0.0001
25,12.070978107452392,29.144029998779295,20.882267385842432,20.882267385842432,5.924156570434571,30.81357202689867,7.206822872161865,29.155243589310196,29.155243589310196,0.0001
26,12.014241317749024,29.306302642822267,20.868986021104025,20.868986021104025,6.10876693725586,30.752151070392152,7.242113208770752,29.200833136309207,29.200833136309207,0.0001
27,11.97193244934082,29.192672348022462,20.851888448633282,20.851888448633282,5.940924453735351,30.833522630276452,7.230551815032959,29.18730990345249,29.18730990345249,0.0001
28,12.048391681671143,29.148896408081054,20.859427560574865,20.859427560574865,5.897847461700439,30.84272492376534,7.232143497467041,29.121973684770705,29.121973684770705,0.0001
29,12.005876621246339,29.24020462036133,20.850631798120478,20.850631798120478,5.88325138092041,30.861975395884492,7.187373542785645,29.18942798578633,29.18942798578633,0.0001
30,11.957647235870361,29.28441467285156,20.83044475908568,20.83044475908568,5.89574089050293,30.88636718457932,7.1693878173828125,29.21244252841246,29.21244252841246,0.0001
31,11.981317840576171,29.446783828735352,20.792489780776233,20.792489780776233,5.961350822448731,30.8878913741487,7.184014320373535,29.250363214715957,29.250363214715957,0.0001
32,11.920010765075684,29.36378402709961,20.771086035439538,20.771086035439538,5.79829511642456,30.97984601197478,7.167560005187989,29.24307476644533,29.24307476644533,0.0001
33,11.979231006622314,29.276343536376952,20.804025216911754,20.804025216911754,5.824423599243164,30.994700628900688,7.301394844055176,29.163495389019495,29.163495389019495,0.0001
34,11.938154327392578,29.6053768157959,20.738970399900325,20.738970399900325,5.736591339111328,31.03439284693841,7.079250431060791,29.302183876941406,29.302183876941406,0.0001
35,11.914611747741699,29.548751449584962,20.665050496021784,20.665050496021784,5.750601482391358,31.02104329596046,7.181091976165772,29.262546160265778,29.262546160265778,0.0001
36,11.905782043457032,29.55512580871582,20.768664221002936,20.768664221002936,5.792574501037597,31.029113575893017,7.139621925354004,29.261314189956153,29.261314189956153,0.0001
37,11.930787498474121,29.571168518066408,20.78641745759082,20.78641745759082,5.886493682861328,31.028865734718845,7.318149852752685,29.247186605816143,29.247186605816143,0.0001
38,11.89603044128418,29.675747299194335,20.701082422072925,20.701082422072925,5.74834041595459,31.10206805463842,7.302596855163574,29.175812240600248,29.175812240600248,0.0001
39,11.881650955200195,29.76438217163086,20.66293302258307,20.66293302258307,5.656689071655274,31.134466367590896,7.062870979309082,29.33385051006377,29.33385051006377,0.0001
40,11.90360860824585,29.598221588134766,20.70800791539106,20.70800791539106,5.737390804290771,31.12858659751986,7.329323196411133,29.1679877417401,29.1679877417401,0.0001
41,11.903165153503418,29.504811096191407,20.79066775595675,20.79066775595675,5.708895969390869,31.1490732031903,7.259067058563232,29.188298383234645,29.188298383234645,0.0001
42,11.885348865509034,29.647517013549805,20.78344983032805,20.78344983032805,5.6264121532440186,31.1597659462702,7.219245433807373,29.175224183463023,29.175224183463023,0.0001
43,11.88743106842041,29.57696952819824,20.82918852995719,20.82918852995719,5.613705062866211,31.17827025669643,7.1354570388793945,29.228657062972797,29.228657062972797,0.0001
44,11.85799153137207,29.694033050537108,20.724817557863908,20.724817557863908,5.712636280059814,31.198004603866735,7.371226119995117,29.207584349778294,29.207584349778294,0.0001
45,11.810740589141846,29.708389282226562,20.7548702346033,20.7548702346033,5.698809719085693,31.197735075635354,7.359659576416016,29.186185239553417,29.186185239553417,0.0001
46,11.84665873336792,29.785156631469725,20.767858196966284,20.767858196966284,5.665364456176758,31.224456705596147,7.1236883163452145,29.31800751150512,29.31800751150512,0.0001
47,11.83903116607666,29.892185592651366,20.798587774712967,20.798587774712967,5.524687194824219,31.302665519331583,7.055819988250732,29.297573446050215,29.297573446050215,0.0001
48,11.82794446182251,29.93406105041504,20.78137120459551,20.78137120459551,5.503699588775635,31.33050595783373,7.084647846221924,29.282476812981038,29.282476812981038,0.0001
